brand,model,year,milage,transmission,accident,fuel_type,ext_col,int_col,price
Alfa,Romeo Stelvio Ti Sport,2020,21487.0,Automatic,None reported,Gasoline,Anodized Blue Metallic,Ice,35345.0
Alfa,Romeo Giulia Ti,2020,23339.0,Automatic,na,Gasoline,Rosso,Black,34645.0
Alfa,Romeo Stelvio Ti,2020,41000.0,Automatic,None reported,Gasoline,White,Black,32400.0
Alfa,Romeo Stelvio Ti Sport,2019,39615.0,Automatic,None reported,Gasoline,Vulcano Black Metallic,Red/Black,28900.0
Alfa,Romeo Giulia Base,2020,30000.0,Automatic,None reported,Gasoline,Black,\'e2\'80\'93,28900.0
Alfa,Romeo Giulia Ti,2019,21400.0,Automatic,None reported,Gasoline,White,Black,28500.0
Alfa,Romeo Stelvio Base,2018,50000.0,Automatic,None reported,Gasoline,Brown,Brown,27500.0
Alfa,Romeo Stelvio Ti Sport,2018,37045.0,na,At least 1 accident or damage reported,Gasoline,White,Red,26600.0
Alfa,Romeo Giulia Ti,2017,56910.0,na,na,Gasoline,Blue,Black,23000.0
Alfa,Romeo Giulia Base,2017,36000.0,Automatic,None reported,Gasoline,White,Red,21000.0
Alfa,Romeo Giulia Base,2017,48000.0,Automatic,None reported,Gasoline,Red,Black,20500.0
Aston,Martin DBS Superleggera,2021,2165.0,Automatic,None reported,Gasoline,Black,Black,279950.0
Aston,Martin DBS Superleggera,2019,22770.0,Automatic,None reported,Gasoline,Silver,Black,184606.0
Aston,Martin DBX Base,2021,2353.0,Automatic,None reported,Gasoline,Green,Sahara Tan,159500.0
Aston,Martin Vantage Base,2022,1023.0,Automatic,None reported,Gasoline,Blue,Brown,156900.0
Aston,Martin Vantage GT Base,2015,21100.0,Manual,None reported,Gasoline,Black,Black,80000.0
Aston,Martin V8 Vantage Base,2010,25991.0,Automatic,None reported,Gasoline,Silver,Black,69995.0
Aston,Martin V8 Vantage Base,2008,25025.0,Automatic,At least 1 accident or damage reported,Gasoline,White,Black,39000.0
Aston,Martin V8 Vantage Base,2008,62378.0,Manual,At least 1 accident or damage reported,Gasoline,Red,Beige,33995.0
Aston,Martin DB7 Vantage Volante,2003,14900.0,Manual,na,Gasoline,White,Beige,32850.0
Audi,R8 5.2 V10 performance,2020,12245.0,Automatic,None reported,Gasoline,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,187900.0
Audi,R8 5.2 V10,2021,6397.0,Automatic,None reported,Gasoline,Kemora Gray Metallic,Black / Express Red,172900.0
Audi,RS 7 4.0T,2022,4100.0,Automatic,None reported,Hybrid,Blue,Black,162500.0
Audi,R8 5.2 V10,2018,8940.0,Automatic,None reported,Gasoline,Tango Red Metallic,Black,144900.0
Audi,R8 5.2 V10 plus,2017,61000.0,na,None reported,Gasoline,Gray,Black,140000.0
Audi,RS 7 4.0T quattro,2023,3158.0,Automatic,None reported,Gasoline,Daytona Gray Pearl Effect,Black / Express Red,128900.0
Audi,RS Q8 4.0T quattro,2022,11322.0,Automatic,None reported,Gasoline,Daytona Gray Pearl Effect,Black / Express Red,119900.0
Audi,R8 5.2,2014,21800.0,na,None reported,Gasoline,White,Black,117000.0
Audi,S8 4.0T quattro,2023,4457.0,Automatic,None reported,Gasoline,Mythos Black Metallic,Black,107900.0
Audi,R8 5.2,2015,51000.0,na,At least 1 accident or damage reported,Gasoline,White,Black,102000.0
Audi,RS 7 4.0T,2021,14724.0,Automatic,None reported,Hybrid,Glacier White,Black/Red,101998.0
Audi,R8 4.2 quattro Spyder,2011,35322.0,Manual,None reported,Gasoline,Phantom Black Pearl Effect / Black Roof,Red,94900.0
Audi,RS Q8 4.0T,2020,41856.0,na,None reported,Gasoline,Gray,Black,91500.0
Audi,RS 3 2.5T,2023,1900.0,na,None reported,Gasoline,Gray,Black,78900.0
Audi,RS 5 2.9T,2022,9628.0,Automatic,None reported,Gasoline,White,Black,78500.0
Audi,S7 2.9T Prestige,2021,12000.0,Automatic,None reported,Hybrid,Gray,Black,77500.0
Audi,SQ8 4.0T Premium Plus,2021,43238.0,na,None reported,Gasoline,Black,Red,76400.0
Audi,TT RS 2.5T,2018,20675.0,na,None reported,Gasoline,Gray,Gray,76000.0
Audi,SQ7 4.0T,2022,28927.0,Automatic,None reported,Gasoline,Matador Red Metallic,Black,74900.0
Audi,R8 5.2 quattro Spyder,2011,75000.0,na,At least 1 accident or damage reported,Gasoline,White,Brown,74000.0
Audi,RS 7 4.0T Performance Prestige,2017,39071.0,Automatic,None reported,Gasoline,White,Black,67900.0
Audi,RS 7 4.0T Prestige,2016,31500.0,Automatic,None reported,Gasoline,Gray,Black,67000.0
Audi,A7 55 Premium Plus,2022,15000.0,Automatic,None reported,Hybrid,Gray,Black,63000.0
Audi,R8 Base,2008,49000.0,Manual,None reported,Gasoline,Black,Black,63000.0
Audi,Q8 55 Premium Plus,2021,30000.0,Automatic,None reported,Hybrid,Black,Black,62000.0
Audi,Q7 Premium Plus,2023,10601.0,Automatic,None reported,Hybrid,Mythos Black,Black,61998.0
Audi,S5 3.0T Prestige,2022,14739.0,Automatic,None reported,Gasoline,Daytona Gray Pearl Effect,Black,61900.0
Audi,Q8 55 Premium Plus,2021,14750.0,na,None reported,Hybrid,Silver,Black,61059.0
Audi,RS 5 2.9T,2019,21240.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,59950.0
Audi,A6 55 Premium Plus,2023,6581.0,Automatic,None reported,Gasoline,Chronos Gray Metallic,Black,59900.0
Audi,A8 4.0,2020,35999.0,Automatic,None reported,Hybrid,Mythos Black Metallic,Sarder Brown,59598.0
Audi,RS 7 4.0T Performance Prestige,2017,66250.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,Gray,59200.0
Audi,S5 3.0T Prestige,2021,13566.0,Automatic,None reported,Gasoline,Daytona Gray Pearl Effect,Magma Red,57900.0
Audi,Q4 e-tron Sportback Premium,2023,1156.0,Automatic,None reported,na,Blue,Black,54900.0
Audi,S4 3.0T Premium Plus,2022,10900.0,na,None reported,Gasoline,Black,Black,53900.0
Audi,S8 4.0T Plus,2017,54300.0,Automatic,None reported,Gasoline,Black,Black,53500.0
Audi,SQ5 3.0T Premium Plus,2022,8497.0,Automatic,None reported,Gasoline,Ibis White,Black,52900.0
Audi,Q7 Premium Plus,2022,22588.0,Automatic,None reported,Hybrid,Navarra Blue,Saiga Beige,52598.0
Audi,Q8 55 Premium,2020,34300.0,Automatic,None reported,Hybrid,Gray,Brown,52500.0
Audi,A6 55 Prestige,2021,22800.0,Automatic,None reported,Hybrid,Blue,Brown,52000.0
Audi,Q4 e-tron 50 Premium Plus,2022,250.0,Automatic,None reported,na,Gray,Black,52000.0
Audi,S5 3.0T Premium,2021,18100.0,Automatic,None reported,Gasoline,Gray,Gray,51800.0
Audi,Q5 S line Premium Plus,2023,6046.0,Automatic,None reported,Hybrid,Daytona Gray,Black,51598.0
Audi,SQ5 3.0T Prestige,2018,25000.0,Automatic,None reported,Gasoline,Gray,Black,50000.0
Audi,A8 L 55,2019,39000.0,Automatic,None reported,Hybrid,Black,Brown,50000.0
Audi,A7 55 Premium,2020,27100.0,Automatic,None reported,Hybrid,White,Black,50000.0
Audi,RS 7 4.0T Prestige,2016,64800.0,Automatic,None reported,Gasoline,White,Brown,50000.0
Audi,S6 4.0T Premium Plus,2018,61258.0,Automatic,None reported,Gasoline,White,Black,49999.0
Audi,A7 Premium Plus,2020,25361.0,Automatic,None reported,Hybrid,Typhoon Gray,Black,49998.0
Audi,S4 3.0T Premium Plus,2020,23823.0,Automatic,None reported,Gasoline,Tango Red Metallic,Black,49995.0
Audi,Q8 3.0T Prestige,2019,38360.0,Automatic,None reported,Gasoline,Orca Black Metallic,Black,49936.0
Audi,A8 L 55,2019,35580.0,Automatic,None reported,Hybrid,Black,Black,49500.0
Audi,Q5 S line Premium Plus,2023,5682.0,Automatic,None reported,Hybrid,Chronos Gray,Gray,48698.0
Audi,Q8 3.0T Prestige,2019,54900.0,Automatic,At least 1 accident or damage reported,Hybrid,Gold,Black,48500.0
Audi,S4 3.0T Premium,2019,12000.0,Automatic,None reported,Gasoline,Black,Black,48000.0
Audi,A8 L 55,2019,23350.0,na,None reported,Hybrid,Black,Brown,48000.0
Audi,RS 7 4.0T Prestige,2014,66150.0,Automatic,At least 1 accident or damage reported,Gasoline,White,Black,47995.0
Audi,Q5 S line Premium Plus,2023,6682.0,Automatic,None reported,Hybrid,Mythos Black Metallic,Rock Gray,47798.0
Audi,Q5 S line Premium Plus,2023,4648.0,Automatic,None reported,Hybrid,Mythos Black,Black,47598.0
Audi,A5 45 S line Premium Plus,2022,24500.0,na,None reported,Hybrid,White,Black,47000.0
Audi,RS 7 4.0T Prestige,2014,59715.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,Black,45000.0
Audi,Q5 S line Premium Plus,2022,13895.0,Automatic,None reported,Hybrid,Daytona Gray,Black,44998.0
Audi,RS 5 4.2,2014,49098.0,na,At least 1 accident or damage reported,Gasoline,White,Black,44900.0
Audi,Q8 3.0T Premium,2019,51984.0,Automatic,None reported,Hybrid,White,\'e2\'80\'93,44870.0
Audi,SQ5 3.0T Prestige,2019,48500.0,na,At least 1 accident or damage reported,Gasoline,Gray,Black,43500.0
Audi,Q5 Premium,2023,2425.0,Automatic,None reported,Hybrid,Mythos Black,\'e2\'80\'93,42998.0
Audi,Q5 S line Premium Plus,2022,13133.0,Automatic,None reported,Hybrid,Silver,Black,42998.0
Audi,S4 3.0T Premium,2019,18603.0,Automatic,None reported,Gasoline,Brilliant Black,Black,42900.0
Audi,S3 2.0T Tech Premium Plus,2018,16400.0,Automatic,None reported,Gasoline,Blue,Red,42800.0
Audi,Q5 S line Premium,2022,8193.0,Automatic,None reported,Hybrid,Florett Silver,Black,42598.0
Audi,A8 L 55,2019,93400.0,Automatic,None reported,Hybrid,Silver,Brown,42500.0
Audi,A6 55 Premium,2019,10832.0,Automatic,None reported,Hybrid,Black,Black,42500.0
Audi,SQ5 3.0T Premium,2020,21832.0,Automatic,None reported,Gasoline,Blue,Black,42000.0
Audi,A7 3.0T Premium,2019,45900.0,na,At least 1 accident or damage reported,Hybrid,Black,Black,41500.0
Audi,Q5 40 Premium,2022,14550.0,Automatic,None reported,Hybrid,Silver,Brown,41500.0
Audi,Q5 S line Premium,2022,18099.0,Automatic,None reported,Hybrid,Daytona Gray,Gray,40798.0
Audi,Q5 S line Premium Plus,2022,10071.0,Automatic,None reported,Hybrid,Mythos Black Metallic,Black,40598.0
Audi,A6 45 Premium Plus,2021,33000.0,Automatic,None reported,Hybrid,Black,Black,40000.0
Audi,S7 4.0T Premium Plus,2017,52500.0,na,None reported,Gasoline,Gray,Gray,39999.0
Audi,A7 3.0T Premium Plus,2018,29294.0,Automatic,None reported,Gasoline,White,Beige,39999.0
Audi,Q3 S line Premium Plus,2022,17377.0,Automatic,None reported,Gasoline,Glacier White,Pearl Beige,39998.0
Audi,Q5 S line Premium,2022,10120.0,Automatic,None reported,Hybrid,Navarre Blue,Gray,39998.0
Audi,e-tron Prestige,2019,16000.0,Automatic,At least 1 accident or damage reported,na,White,Beige,39990.0
Audi,A6 55 Premium,2020,25300.0,Automatic,None reported,Hybrid,White,Beige,39900.0
Audi,Q7 55 Prestige,2019,41000.0,Automatic,None reported,Gasoline,White,Beige,39900.0
Audi,e-tron Premium,2021,18031.0,Automatic,None reported,na,Navarra Blue Metallic,Black,39599.0
Audi,S5 3.0T Prestige,2018,44000.0,Automatic,None reported,Gasoline,Gray,Black,39000.0
Audi,e-tron Prestige,2019,7874.0,Automatic,None reported,na,Typhoon Gray Metallic,Pearl Beige,38999.0
Audi,SQ5 3.0T Premium Plus,2019,22300.0,Automatic,None reported,Gasoline,Blue,Gray,38999.0
Audi,e-tron Prestige,2019,33012.0,Automatic,None reported,na,Blue,Beige,38000.0
Audi,S4 3.0T Premium Plus,2018,26500.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,Black,38000.0
Audi,A5 Sportback S line Premium Plus,2021,35000.0,Automatic,None reported,Hybrid,Black,Black,37499.0
Audi,A7 3.0T Premium Plus,2018,45843.0,Automatic,None reported,Gasoline,Silver,Black,37000.0
Audi,A7 Premium,2012,54000.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Brown,36880.0
Audi,Q7 45 Premium Plus,2021,68000.0,Automatic,None reported,Gasoline,Blue,Black,36499.0
Audi,Q7 55 Prestige,2019,73837.0,Automatic,None reported,Gasoline,Cobra Beige Metallic,Nougat Brown,36340.0
Audi,RS 5 4.2,2013,75965.0,Automatic,At least 1 accident or damage reported,Gasoline,White,Black,35999.0
Audi,A7 3.0T Premium Plus,2017,39000.0,na,At least 1 accident or damage reported,Gasoline,Black,Black,35000.0
Audi,Q3 45 S line Premium Plus,2021,9835.0,Automatic,None reported,Gasoline,Glacier White Metallic,Black,34999.0
Audi,A5 2.0T Premium Plus,2019,23827.0,Automatic,None reported,Gasoline,Gray,Black,34995.0
Audi,A7 3.0T Prestige,2015,73000.0,Automatic,None reported,Diesel,White,Gray,34000.0
Audi,Q3 45 S line Premium,2022,9325.0,Automatic,None reported,Gasoline,Mythos Black Metallic,Black,33610.0
Audi,A5 2.0T Prestige,2018,35850.0,Automatic,None reported,Gasoline,White,Black,33000.0
Audi,TT 2.0T,2018,42650.0,na,None reported,Gasoline,Gray,Black,31990.0
Audi,A5 2.0T Premium,2018,67035.0,na,At least 1 accident or damage reported,Gasoline,Pink,Brown,31500.0
Audi,S3 2.0T Premium Plus,2017,84000.0,Automatic,None reported,Gasoline,Blue,Black,31000.0
Audi,A5 2.0T Premium Plus,2019,47523.0,na,None reported,Gasoline,Black,Black,31000.0
Audi,S4 3.0 Prestige,2012,38718.0,Automatic,None reported,Gasoline,Black,Black,31000.0
Audi,Q5 2.0T Premium Plus,2019,24500.0,Automatic,None reported,Gasoline,Black,\'e2\'80\'93,31000.0
Audi,Q7 3.0T Prestige,2018,70773.0,Automatic,None reported,Gasoline,White,Black,30950.0
Audi,SQ5 3.0T Premium Plus,2018,72000.0,Automatic,At least 1 accident or damage reported,Gasoline,Blue,Black,30000.0
Audi,RS 4 4.2 quattro L,2008,146500.0,Manual,At least 1 accident or damage reported,Gasoline,Red,Black,30000.0
Audi,S6 4.0T,2016,91188.0,Automatic,None reported,Gasoline,Black,Black,29995.0
Audi,RS 4 Base,2007,99769.0,Manual,None reported,Gasoline,Gray,White,29995.0
Audi,S6 4.0T,2015,74000.0,Automatic,None reported,Gasoline,Blue,Gray,29950.0
Audi,Q7 3.0T Prestige,2018,63400.0,Automatic,None reported,Gasoline,Black,Black,29900.0
Audi,TT RS Base,2012,54900.0,Manual,na,Gasoline,White,Brown,28900.0
Audi,Q5 2.0T Premium Plus,2018,50400.0,na,None reported,Gasoline,White,Beige,28500.0
Audi,A8 L 3.0T,2016,55000.0,Automatic,None reported,Gasoline,White,Brown,28000.0
Audi,A5 2.0T Premium,2018,53000.0,Automatic,At least 1 accident or damage reported,Gasoline,White,Brown,28000.0
Audi,A4 2.0T Titanium Premium,2019,7300.0,Automatic,None reported,Gasoline,White,Gray,27900.0
Audi,A4 2.0T Tech Premium,2018,27532.0,Automatic,None reported,Gasoline,Gray,Black,27900.0
Audi,A3 2.0T Premium,2019,28211.0,na,At least 1 accident or damage reported,Gasoline,Gray,Black,27500.0
Audi,S6 4.0T Prestige,2013,53900.0,Automatic,na,Gasoline,Black,Black,27450.0
Audi,Q5 2.0T Premium Plus,2019,50000.0,Automatic,At least 1 accident or damage reported,Gasoline,White,Beige,27000.0
Audi,A3 2.0T Tech Premium,2018,39600.0,na,None reported,Gasoline,White,Black,26999.0
Audi,A6 3.0 TDI Premium Plus,2014,42400.0,Automatic,None reported,Diesel,Silver,Black,26500.0
Audi,S5 3.0T Prestige,2013,37500.0,Automatic,None reported,Gasoline,Black,Black,26000.0
Audi,TTS 2.0T Premium Plus,2012,72922.0,Automatic,na,Gasoline,White,Black,25999.0
Audi,Q7 3.0T Premium,2017,108000.0,Automatic,None reported,Gasoline,Gray,Brown,25999.0
Audi,S5 3.0T Premium Plus,2014,67900.0,Manual,na,Gasoline,Silver,Black,25990.0
Audi,A3 2.0T Premium,2018,36500.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,Silver,25500.0
Audi,A3 2.0T Tech Premium,2018,49500.0,Automatic,None reported,Gasoline,Blue,Gray,25000.0
Audi,SQ5 3.0T Premium Plus,2016,60000.0,na,At least 1 accident or damage reported,Gasoline,Black,Black,24700.0
Audi,S4 3.0T Premium Plus,2013,91877.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Red,24000.0
Audi,A6 2.0T Sport,2018,49650.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,23750.0
Audi,TTS 2.0T Premium Plus,2011,69700.0,Automatic,At least 1 accident or damage reported,Gasoline,Orange,\'e2\'80\'93,23000.0
Audi,S4 3.0T Premium Plus,2014,106000.0,Manual,At least 1 accident or damage reported,Gasoline,Gray,Black,23000.0
Audi,Q5 3.0 TDI Premium Plus,2014,55564.0,Automatic,At least 1 accident or damage reported,Diesel,Black,Black,22500.0
Audi,A8 4.0T,2014,96238.0,na,At least 1 accident or damage reported,Gasoline,Black,Black,22500.0
Audi,A8 L 4.0T,2016,142666.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,22000.0
Audi,A6 3.0T Premium Plus,2016,71280.0,Automatic,None reported,Gasoline,Silver,Black,22000.0
Audi,A6 3.0T Premium Plus,2016,72865.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,22000.0
Audi,A6 2.0T Premium Plus,2016,96000.0,Automatic,None reported,Gasoline,Black,Black,21990.0
Audi,S3 2.0T Premium Plus,2015,78124.0,Automatic,None reported,Gasoline,Blue,Black,21500.0
Audi,Q5 2.0T Premium Plus,2017,81880.0,Automatic,None reported,E85 Flex Fuel,Mythos Black Metallic,Black,21375.0
Audi,S4 3.0T Premium Plus,2014,102370.0,Automatic,None reported,Gasoline,Gray,Black,21373.0
Audi,A7 3.0T Prestige,2013,87066.0,Automatic,None reported,Gasoline,Silver,Black,20999.0
Audi,Q5 2.0T Premium Plus,2015,54700.0,Automatic,At least 1 accident or damage reported,E85 Flex Fuel,Gray,Brown,20995.0
Audi,S4 3.0T Premium Plus,2013,139355.0,Automatic,None reported,Gasoline,Black,Black,20900.0
Audi,Q5 2.0T Premium Plus,2016,52105.0,Automatic,At least 1 accident or damage reported,E85 Flex Fuel,White,Beige,20499.0
Audi,A6 2.0T Premium Plus,2016,68000.0,na,At least 1 accident or damage reported,Gasoline,White,Black,20000.0
Audi,A6 3.0T Prestige,2015,108000.0,na,None reported,Gasoline,Black,Brown,19998.0
Audi,S5 3.0 Premium Plus,2012,61450.0,Automatic,None reported,Gasoline,White,Gray,19500.0
Audi,A6 2.0T Premium Plus,2016,63398.0,Automatic,At least 1 accident or damage reported,Gasoline,White,Gray,19500.0
Audi,Q5 3.0T Premium Plus,2015,60251.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,19000.0
Audi,A3 2.0 TDI Premium Plus,2015,83000.0,Automatic,At least 1 accident or damage reported,Diesel,Black,Black,18999.0
Audi,S4 3.0 Prestige,2012,98400.0,Automatic,None reported,Gasoline,White,White,18000.0
Audi,A6 3.0T Prestige,2014,89500.0,na,None reported,Gasoline,Gray,Black,18000.0
Audi,allroad 2.0T Prestige,2013,104457.0,Automatic,None reported,Gasoline,Silver,Black,17900.0
Audi,A4 2.0T Premium Plus,2015,73000.0,Automatic,At least 1 accident or damage reported,E85 Flex Fuel,Black,Black,17200.0
Audi,A5 2.0T Premium Plus,2015,82000.0,Automatic,None reported,Gasoline,White,Brown,17000.0
Audi,Q5 2.0T Premium Plus,2013,111773.0,Automatic,None reported,Gasoline,Brown,Beige,17000.0
Audi,TT 2.0T Premium,2012,64549.0,na,None reported,Gasoline,Silver,Black,17000.0
Audi,S4 4.2 quattro,2004,74030.0,Manual,None reported,Gasoline,Silver,Gray,16000.0
Audi,A4 2.0T Premium Plus,2015,83420.0,Automatic,At least 1 accident or damage reported,E85 Flex Fuel,Red,Gray,16000.0
Audi,A7 Premium,2012,103272.0,Automatic,None reported,Gasoline,Black,Brown,15500.0
